feature,pred_0,pred_1
FSASSET,0.04,-0.04
FSSLTDE2,0.02,-0.02
RAWERND,0.01,-0.01
SHELDED,-0.22,0.22
FSNONCIT,-0.01,0.01
CERTHHSZ,0.02,-0.02
WRK_POOR,0.01,-0.01
FSERNDED,0.01,-0.01
FSNETINC,0.01,-0.01
FSERNDE2,0.01,-0.01
FSUSIZE,0.04,-0.04
FSSSI,-0.02,0.02
TANF_IND,-0.02,0.02
REALPROP,0.0,0.0
LIQRESOR,0.03,-0.03
FSWAGES,0.01,-0.01
FSCSEXP,0.0,-0.0
FSSTDDE2,-0.06,0.06
FSDIS,0.0,-0.0
FSSLTDED,-0.18,0.18
TPOV,0.01,-0.01
FSNK0T4,-0.01,0.01
FSTOTDED,0.02,-0.02
FSOTHUN,0.0,-0.0
FSUNEARN,-0.03,0.03
FSGA,-0.01,0.01
FSEARN,0.02,-0.02
FSTANF,-0.03,0.03
RAWNET,0.01,-0.01
FSNELDER,-0.0,0.0
FSVEHAST,0.0,0.0
VEHICLEA,0.03,-0.03
