state,SHELDED,FSSLTDED,HWGT,FSTOTDED,CERTHHSZ,FSUSIZE,FSUNEARN,FSSTDDE2,FSASSET,LIQRESOR,TANF_IND,FSTANF,FSTOTDE2,FSERNDED,FSGRINC
Connecticut,584,584,3575,744,1,1,920,240,0,0,0,0,744,0,920
Connecticut,968,969,3704,1171,1,1,1197,240,0,0,0,0,1171,42,1409
Connecticut,969,969,3521,1129,1,1,1278,240,0,0,0,0,1129,0,1278
Connecticut,0,0,3216,160,1,1,0,0,0,0,0,0,0,0,0
Connecticut,802,802,3527,962,1,1,1113,240,0,0,0,0,962,0,1113
Connecticut,728,546,4416,1049,1,1,0,240,0,0,0,0,1049,343,1716
Connecticut,535,535,2763,2299,3,3,860,24,0,0,0,0,2163,260,2163
Connecticut,576,576,3778,736,1,1,1011,240,0,0,0,0,736,0,1011
Connecticut,1054,1054,3216,1214,1,1,909,0,0,0,0,0,909,0,909
Connecticut,0,0,2763,160,3,3,26,26,0,0,0,0,26,0,26
Connecticut,966,966,3541,1172,1,1,1331,240,0,0,0,0,1172,0,1331
Connecticut,696,696,4022,856,1,1,1250,240,0,0,0,0,856,0,1250
Connecticut,535,535,2962,695,2,2,515,44,0,0,0,0,515,0,515
Connecticut,535,535,3466,899,1,1,0,160,0,0,0,0,899,204,1022
Connecticut,535,535,2962,695,2,2,200,0,0,0,0,0,200,0,200
Connecticut,517,535,3216,695,1,1,650,115,0,0,0,0,650,0,650
Connecticut,1341,1341,3216,1501,1,1,1245,0,0,0,0,0,1245,0,1245
Connecticut,535,535,4294,843,6,6,1332,266,0,0,0,0,843,80,1732
Connecticut,335,335,3770,765,4,4,0,255,0,0,0,0,765,260,1303
Connecticut,535,535,4589,1068,2,2,0,160,0,0,0,0,1068,373,1867
Connecticut,0,0,4389,160,1,1,735,160,0,0,0,0,160,0,735
Connecticut,535,535,3805,940,1,1,0,160,0,0,0,0,940,245,1229
Connecticut,535,535,3216,808,1,1,0,0,0,0,0,0,568,113,568
