FSASSET,FSSLTDE2,RAWERND,SHELDED,FSNONCIT,CERTHHSZ,WRK_POOR,FSERNDED,FSNETINC,FSERNDE2,FSUSIZE,FSSSI,TANF_IND,REALPROP,LIQRESOR,FSWAGES,FSCSEXP,FSSTDDE2,FSDIS,FSSLTDED,TPOV,FSNK0T4,FSTOTDED,FSOTHUN,FSUNEARN,FSGA,FSEARN,FSTANF,RAWNET,FSNELDER,CAT_ELIG,FSVEHAST,VEHICLEA
0.0,171.0,0.0,172.0,0.0,3.0,0.0,0.0,608.0,0.0,3.0,603.0,1.0,0.0,0.0,0.0,0.0,201.0,1.0,171.0,66.0,1.0,305.0,0.0,913.0,0.0,0.0,310.0,607.0,0.0,1.0,0.0,0.0
0.0,76.0,295.0,76.0,0.0,6.0,1.0,295.0,737.0,371.0,6.0,0.0,0.0,0.0,0.0,1477.0,183.0,262.0,0.0,76.0,66.0,1.0,740.0,0.0,0.0,0.0,1477.0,0.0,737.0,0.0,2.0,0.0,0.0
0.0,417.0,0.0,417.0,0.0,3.0,0.0,0.0,18.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,134.0,0.0,417.0,41.0,1.0,551.0,0.0,569.0,0.0,0.0,389.0,18.0,0.0,1.0,0.0,0.0
14.0,40.0,373.0,40.0,0.0,4.0,1.0,373.0,1314.0,413.0,4.0,0.0,0.0,0.0,14.0,1866.0,0.0,179.0,0.0,40.0,112.0,2.0,552.0,0.0,0.0,0.0,1866.0,0.0,1314.0,0.0,2.0,0.0,0.0
0.0,322.0,0.0,323.0,0.0,1.0,0.0,0.0,147.0,0.0,1.0,603.0,0.0,0.0,0.0,0.0,0.0,201.0,0.0,322.0,74.0,0.0,456.0,0.0,603.0,0.0,0.0,0.0,147.0,1.0,1.0,0.0,0.0
0.0,213.0,26.0,410.0,0.0,2.0,1.0,25.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,129.0,0.0,5.0,0.0,409.0,34.0,1.0,568.0,0.0,243.0,0.0,129.0,243.0,0.0,0.0,1.0,0.0,0.0
0.0,78.0,0.0,79.0,0.0,1.0,0.0,0.0,411.0,0.0,1.0,165.0,0.0,0.0,0.0,0.0,0.0,201.0,1.0,78.0,76.0,0.0,212.0,0.0,623.0,0.0,0.0,0.0,411.0,0.0,1.0,0.0,0.0
0.0,169.0,247.0,169.0,0.0,5.0,1.0,246.0,657.0,369.0,5.0,0.0,0.0,0.0,0.0,1234.0,0.0,243.0,0.0,169.0,63.0,2.0,577.0,0.0,0.0,0.0,1234.0,0.0,656.0,0.0,2.0,0.0,0.0
0.0,265.0,0.0,266.0,0.0,1.0,0.0,0.0,204.0,0.0,1.0,603.0,0.0,0.0,0.0,0.0,0.0,201.0,1.0,265.0,74.0,0.0,399.0,0.0,603.0,0.0,0.0,0.0,204.0,0.0,1.0,0.0,0.0
0.0,161.0,74.0,400.0,0.0,3.0,1.0,73.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,368.0,0.0,0.0,0.0,417.0,27.0,0.0,624.0,0.0,0.0,0.0,368.0,0.0,0.0,0.0,2.0,0.0,0.0
0.0,171.0,0.0,172.0,0.0,1.0,0.0,0.0,298.0,0.0,1.0,603.0,0.0,0.0,0.0,0.0,0.0,201.0,1.0,171.0,74.0,0.0,305.0,0.0,603.0,0.0,0.0,0.0,298.0,0.0,1.0,0.0,0.0
0.0,91.0,144.0,91.0,0.0,2.0,1.0,144.0,326.0,216.0,2.0,0.0,0.0,0.0,0.0,720.0,0.0,201.0,0.0,91.0,65.0,0.0,394.0,0.0,0.0,0.0,720.0,0.0,326.0,0.0,2.0,0.0,0.0
0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,504.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,134.0,1.0,0.0,78.0,0.0,134.0,0.0,638.0,0.0,0.0,0.0,504.0,0.0,2.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
0.0,0.0,8.0,0.0,0.0,1.0,1.0,8.0,109.0,8.0,1.0,0.0,1.0,0.0,0.0,42.0,0.0,134.0,0.0,0.0,31.0,0.0,142.0,0.0,209.0,0.0,42.0,209.0,109.0,0.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
0.0,318.0,138.0,319.0,0.0,4.0,1.0,137.0,159.0,205.0,4.0,0.0,0.0,0.0,0.0,688.0,0.0,208.0,0.0,318.0,57.0,2.0,787.0,0.0,258.0,0.0,688.0,0.0,157.0,0.0,2.0,0.0,0.0
0.0,164.0,43.0,164.0,1.0,4.0,1.0,43.0,232.0,65.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,209.0,0.0,164.0,35.0,1.0,346.0,350.0,363.0,0.0,215.0,0.0,232.0,0.0,2.0,0.0,0.0
0.0,208.0,295.0,209.0,0.0,3.0,1.0,295.0,839.0,442.0,3.0,0.0,0.0,0.0,0.0,1476.0,0.0,201.0,0.0,208.0,107.0,2.0,637.0,0.0,0.0,0.0,1476.0,0.0,838.0,0.0,2.0,0.0,0.0
555.0,0.0,269.0,0.0,0.0,4.0,1.0,268.0,1340.0,268.0,4.0,603.0,0.0,0.0,555.0,1344.0,0.0,139.0,1.0,0.0,117.0,0.0,607.0,0.0,603.0,0.0,1344.0,0.0,1339.0,0.0,2.0,0.0,0.0
0.0,0.0,275.0,0.0,0.0,2.0,1.0,275.0,967.0,275.0,2.0,0.0,0.0,0.0,0.0,1376.0,0.0,134.0,0.0,0.0,125.0,0.0,409.0,0.0,0.0,0.0,1376.0,0.0,967.0,0.0,2.0,0.0,0.0
5.0,22.0,0.0,11.0,0.0,5.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,44.0,0.0,221.0,9.0,0.0,383.0,0.0,184.0,0.0,0.0,0.0,11.0,0.0,2.0,0.0,0.0
0.0,307.0,0.0,308.0,0.0,1.0,0.0,0.0,242.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,201.0,0.0,307.0,84.0,1.0,441.0,0.0,683.0,0.0,0.0,0.0,242.0,0.0,2.0,0.0,0.0
0.0,99.0,165.0,110.0,1.0,5.0,1.0,165.0,403.0,248.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,243.0,0.0,99.0,43.0,0.0,426.0,0.0,0.0,0.0,829.0,0.0,390.0,0.0,2.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,469.0,0.0,1.0,603.0,0.0,0.0,0.0,0.0,0.0,134.0,1.0,0.0,74.0,0.0,134.0,0.0,603.0,0.0,0.0,0.0,469.0,0.0,1.0,0.0,0.0
0.0,0.0,0.0,417.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,417.0,0.0,0.0,551.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
0.0,176.0,0.0,176.0,0.0,1.0,0.0,0.0,534.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,201.0,0.0,176.0,103.0,0.0,310.0,0.0,844.0,0.0,0.0,0.0,534.0,1.0,2.0,0.0,0.0
0.0,398.0,40.0,398.0,0.0,4.0,1.0,40.0,92.0,60.0,4.0,0.0,1.0,0.0,0.0,200.0,0.0,209.0,0.0,398.0,40.0,1.0,577.0,0.0,469.0,0.0,200.0,469.0,92.0,0.0,1.0,0.0,0.0
0.0,0.0,0.0,23.0,0.0,2.0,0.0,0.0,756.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,134.0,0.0,0.0,81.0,0.0,134.0,0.0,890.0,0.0,0.0,0.0,732.0,1.0,2.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,854.0,0.0,4.0,603.0,1.0,0.0,0.0,0.0,0.0,139.0,1.0,0.0,60.0,0.0,139.0,0.0,993.0,0.0,0.0,390.0,854.0,0.0,1.0,0.0,0.0
0.0,97.0,0.0,183.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,115.0,0.0,183.0,28.0,1.0,317.0,0.0,231.0,0.0,0.0,231.0,0.0,0.0,1.0,0.0,0.0
11.0,328.0,47.0,417.0,0.0,5.0,1.0,47.0,0.0,0.0,5.0,0.0,0.0,0.0,11.0,237.0,0.0,153.0,0.0,417.0,28.0,0.0,626.0,300.0,300.0,0.0,237.0,0.0,0.0,0.0,2.0,0.0,0.0
0.0,152.0,0.0,152.0,0.0,2.0,0.0,0.0,858.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,201.0,1.0,152.0,104.0,0.0,286.0,0.0,1144.0,0.0,0.0,0.0,858.0,1.0,2.0,0.0,0.0
0.0,0.0,213.0,0.0,0.0,4.0,1.0,213.0,714.0,213.0,4.0,0.0,0.0,0.0,0.0,1066.0,0.0,139.0,0.0,0.0,64.0,0.0,352.0,0.0,0.0,0.0,1066.0,0.0,714.0,0.0,2.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1112.0,0.0,2.0,363.0,0.0,0.0,0.0,0.0,0.0,134.0,1.0,0.0,113.0,0.0,134.0,0.0,1246.0,0.0,0.0,0.0,1112.0,1.0,1.0,0.0,0.0
0.0,350.0,0.0,350.0,0.0,4.0,0.0,0.0,114.0,0.0,4.0,603.0,0.0,0.0,0.0,0.0,0.0,209.0,1.0,350.0,36.0,1.0,489.0,0.0,603.0,0.0,0.0,0.0,114.0,0.0,2.0,0.0,0.0
0.0,387.0,181.0,388.0,0.0,1.0,1.0,180.0,202.0,270.0,1.0,0.0,0.0,0.0,0.0,903.0,0.0,201.0,0.0,387.0,111.0,0.0,701.0,0.0,0.0,0.0,903.0,0.0,201.0,0.0,2.0,0.0,0.0
26.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,176.0,0.0,2.0,0.0,1.0,0.0,26.0,0.0,0.0,134.0,0.0,0.0,28.0,1.0,134.0,0.0,310.0,0.0,0.0,310.0,176.0,0.0,1.0,0.0,0.0
0.0,0.0,0.0,417.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,417.0,0.0,0.0,551.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
9.0,21.0,130.0,21.0,0.0,5.0,1.0,129.0,1201.0,150.0,5.0,0.0,1.0,0.0,9.0,648.0,0.0,183.0,0.0,21.0,78.0,1.0,312.0,0.0,865.0,0.0,648.0,320.0,1200.0,0.0,1.0,0.0,0.0
992.0,125.0,0.0,125.0,0.0,1.0,0.0,0.0,364.0,0.0,1.0,312.0,0.0,0.0,992.0,0.0,0.0,201.0,0.0,125.0,76.0,0.0,259.0,0.0,623.0,0.0,0.0,0.0,363.0,1.0,1.0,0.0,0.0
0.0,383.0,0.0,405.0,0.0,1.0,0.0,0.0,45.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,201.0,0.0,383.0,69.0,0.0,517.0,0.0,562.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0
419.0,268.0,0.0,343.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,176.0,0.0,0.0,419.0,0.0,0.0,126.0,0.0,343.0,49.0,0.0,477.0,0.0,402.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
194.0,175.0,125.0,175.0,0.0,4.0,1.0,125.0,187.0,188.0,4.0,0.0,0.0,0.0,194.0,626.0,0.0,209.0,0.0,175.0,38.0,3.0,439.0,0.0,0.0,0.0,626.0,0.0,187.0,0.0,2.0,0.0,0.0
